"Question","Options","Correct Answer","Justification","revoir"
"You plan to create an Azure Databricks workspace with three workloads: data engineers using Python and SQL- jobs running notebooks in multiple languages- and data scientists performing ad hoc analysis. Should you create a high concurrency cluster for each data scientist- data engineers- and a standard cluster for the jobs?","a) Yes - b) No","b) No","b) No : Correct - car un cluster standard pour chaque scientifique est suffisant - et il est inutile d'utiliser un cluster haute concurrence pour les scientifiques. Le cluster standard répond à leurs besoins.","0.0"
"You have an Azure data factory named ADF1. You currently publish all pipeline authoring changes directly to ADF1. You need to implement version control for the changes made to the pipeline artifacts. The solution must ensure that you can apply version control to the resources currently defined in the UX authoring canvas for ADF1. Which two actions should you perform?","a) From the UX authoring canvas - select Setup Code Repository - b) Create a Git repository - c) Create a GitHub action - d) Create an Azure Data Factory trigger - e) From the UX authoring canvas - select Publish - f) From the UX authoring canvas - run Publish All","a) From the UX authoring canvas - select Setup Code Repository - f) From the UX authoring canvas - run Publish All","a) From the UX authoring canvas - select Setup Code Repository - f) From the UX authoring canvas - run Publish All : Correct - car la configuration du dépôt de code et l'utilisation de 'Publish All' permettent de contrôler les versions des pipelines dans Azure Data Factory.","0.0"
"You have a real-time data analysis solution hosted on Microsoft Azure using Event Hub and Azure Stream Analytics. How can you optimize performance for the Stream Analytics job?","a) Implement event ordering - b) Implement user-defined functions - c) Implement query parallelization by partitioning the data input - d) Scale up the SU count for the job","c) Implement query parallelization by partitioning the data input","c) Implement query parallelization by partitioning the data input : Correct - car la parallélisation améliore les performances des jobs Stream Analytics.","0.0"
"Which transformation is used to load data into a datastore or compute resource in Azure Data Factory?","a) Source - b) Destination - c) Sync - d) Window","c) Sync","c) Sync : Correct - car la transformation Sync est utilisée pour charger les données dans une ressource de calcul ou de stockage.","0.0"
"You have an Azure subscription that contains an Azure Synapse Analytics Dedicated SQL pool named Pool1. Pool1 hosts a table named Table1. You receive JSON data from an external data source. You need to store the external data in Table1. Which T-SQL element should you use?","a) ConvertFrom-Json - b) FROM JSON - c) FOR JSON - d) OPENJSON","d) OPENJSON","La commande OPENJSON permet de convertir un document JSON en format de table dans SQL Server et Azure Synapse Analytics. Les autres options ne sont pas valides dans ce contexte. ConvertFrom-Json est utilisé en PowerShell - et FOR JSON est utilisé pour formater les résultats en JSON - tandis que FROM JSON n'existe pas en T-SQL.","0.0"
"You have an Azure Synapse Analytics database with a dimension table named 'Stores' containing information on 263 stores nationwide. The store information is retrieved in more than half of the queries. Which table geometry should you choose to improve query performance?","a) Round-robin - b) Non-clustered - c) Replicated","c) Replicated","c) Replicated : Correct - car un tableau répliqué améliore les performances des requêtes sur des tables fréquemment consultées lorsque les données sont de petite taille.","0.0"
"You have an Azure Synapse Analytics dedicated SQL pool that contains a table named table one. You have files that are ingested and loaded into an Azure Data Lake Storage Gen 2 container named Container1. You plan to insert data from the files in Container1 into table one and transform the data. Each row of the data in the files will produce one row in the serving layer of table one. You need to ensure that when the source data files are loaded into Container1- the date and time are stored as an additional column in table one. The solution is to use a dedicated SQL pool to create an external table that has an additional date-time column. Does this meet the goal?","a) Yes - b) No","b) No","b) No : Correct - car une table externe dans un pool SQL dédié ne peut pas inclure automatiquement une colonne de date/heure lors de l'importation des fichiers.","0.0"
"You have an Azure Data Factory pipeline that uses Apache Spark to transform data. You need to run the pipeline. Which PowerShell cmdlet should you run?","a) Invoke-AzDataFactoryV2Pipeline - b) Invoke-AzureDataFactoryV2Pipeline - c) Start-AzDataFactoryV2Pipeline - d) Start-AzureDataFactoryV2Pipeline","a) Invoke-AzDataFactoryV2Pipeline","La commande Invoke-AzDataFactoryV2Pipeline est la bonne commande PowerShell pour démarrer un pipeline dans Azure Data Factory. Les autres options sont incorrectes car elles utilisent des préfixes de commandes incorrects ou des noms de commandes inexacts.","0.0"
"What should you recommend to prevent users outside the Perfect Pizza on-premises network from accessing the analytical data store?","a) Server-level firewall IP rule - b) Database-level virtual network rule - c) Server-level virtual network rule - d) Database-level firewall IP rule","a) Server-level firewall IP rule","a) Server-level firewall IP rule : Correct - car une règle de pare-feu au niveau du serveur est idéale pour bloquer les connexions extérieures à l'environnement réseau de l'entreprise - tout en permettant l'accès aux réseaux autorisés.","0.0"
"You have an ELT solution that uses an Azure Storage account named datastg- an Azure HDInsight cluster- and an Azure Data Factory resource. You need to run a Hive script as an activity in the Data Factory pipeline. The solution must write the output of the script to a folder named devices in a container named data in the storage account. What should you add to the Output value in the JSON file?","a) http://data@datastg.blob.core.windows.net/devices/ - b) https://datastg.blob.core.windows.net/data/devices/ - c) wasb://data@datastg.blob.core.windows.net/devices/ - d) wasb://datastg.blob.core.windows.net/data/devices/","c) wasb://data@datastg.blob.core.windows.net/devices/","Le format wasb://data@datastg.blob.core.windows.net/devices/ est correct pour indiquer l'emplacement du fichier dans un script Hive pour écrire dans un compte de stockage Azure. La réponse d) est incorrecte car le conteneur doit être placé devant le nom du compte de stockage avec un @. Vous utilisez wasb - et non http.","0.0"
"By default- how are corrupt records dealt with using Spark's `spark.read.json()` function?","a) They appear in a column called `corrupt_record` - b) They are automatically deleted - c) They throw an exception and exit read operation","a) They appear in a column called `corrupt_record`","a) They appear in a column called `corrupt_record` : Correct - car Spark enregistre les lignes corrompues dans une colonne spéciale pour les examiner plus tard.","0.0"
"What should you do to improve high availability of the real-time data processing solution?","a) Deploy a high concurrency Databricks cluster - b) Deploy an Azure Stream Analytics job and use an Azure Automation runbook to check the status of the job and restart if it stops - c) Set the Data Lake Storage to use Geo-redundant storage - d) Deploy identical Azure Stream Analytics jobs to paired regions in Azure","d) Deploy identical Azure Stream Analytics jobs to paired regions in Azure","d) Deploy identical Azure Stream Analytics jobs to paired regions in Azure : Correct - car cela garantit une haute disponibilité en cas de défaillance d'un des clusters - en suivant le modèle de région appariée d'Azure.","0.0"
"You need to output files from Azure Data Factory. Which file format should you use for each type of output?","Columnar format: a) Avro - b) GZIP - c) Parquet - d) TXT | JSON with a timestamp: a) Avro - b) GZIP - c) Parquet - d) TXT","Columnar format: c) Parquet | JSON with a timestamp: a) Avro","c) Parquet est un format en colonnes idéal pour l'analyse de grandes quantités de données. a) Avro est adapté aux structures JSON avec horodatage.","0.0"
"You are developing a solution that will use Azure Stream Analytics. The solution will accept input from Azure Blob storage named customers. The file will contain both in-store and online customer details. The online customers will provide a mailing address. You also have a file in Blob storage named location_incomes that contains median incomes based on location. The file is rarely used. You need to use an address to look up a median income based on the location and must output the data to Azure SQL Database for immediate use and to Azure Data Lake Storage Gen 2 for long-term retention. The solution is to implement a Stream Analytics job that has one streaming input- one reference input- two queries- and four outputs. Does this meet the goal?","a) Yes - b) No","a) Yes","a) Yes : Correct - car la solution dispose d'un input de référence pour `location_incomes` - deux requêtes pour traiter les clients en magasin et en ligne - et quatre sorties - deux pour chaque type de client.","0.0"
"You are performing exploratory analysis of bus fare data in an Azure Data Lake Storage Gen2 account by using an Azure Synapse Analytics serverless SQL pool. You execute the Transact-SQL query shown in the following exhibit. What do the query results include?","a) Only CSV files in the 'tripdata_2020' subfolder - b) All files that have file names beginning with 'tripdata_2020' - c) All CSV files that have file names containing 'tripdata_2020' - d) Only CSV files that have file names beginning with 'tripdata_2020'","d) Only CSV files that have file names beginning with 'tripdata_2020'","d) Only CSV files that have file names beginning with 'tripdata_2020': Correct - because the query filters only CSV files whose names begin with 'tripdata_2020'.","0.0"
"Azure storage is the least expensive choice when you want to store data but don't need to query it. Is this statement correct?","a) Yes - b) No","a) Yes","a) Yes : Correct - car Azure Storage est la solution la moins coûteuse pour le stockage de données sans besoin d'interrogation.","0.0"
"You have an Azure Databricks workspace in the Standard pricing tier. You need to configure auto-scaling for all-purpose clusters. What should you do first?","a) Enable Container Services - b) Upgrade to Premium Pricing Tier - c) Set Cluster Mode to High Concurrency - d) Create a Cluster Policy","b) Upgrade to Premium Pricing Tier","b) Upgrade to Premium Pricing Tier : Correct - car l'auto-scaling optimisé est uniquement disponible dans le niveau Premium. a) Enable Container Services - c) Set Cluster Mode to High Concurrency - d) Create a Cluster Policy : Incorrects - car ils n'offrent pas la réduction à trois minutes nécessaire.","0.0"
"What distribution model is typically recommended as the most optimal for dimension tables - considering their unique characteristics and requirements?","a) Replicated - b) Round-robin - c) Heap - d) Partitioned columnstore","a) Replicated","Replicated distribution ensures optimal performance for dimension tables by replicating them across compute nodes.","0.0"
"What is the default port for connecting to an enterprise data warehouse in Azure Synapse Analytics?","a) TCP 1344 - b) UDP 1433 - c) TCP 1433","c) TCP 1433","c) TCP 1433 : Correct - car c'est le port par défaut pour SQL Server et Azure Synapse.","0.0"
"You have an Azure Data Lake Storage account named store.dfs.core.windows.net and an Apache Spark notebook named Notebook1. You plan to use Notebook1 to load and transform data in store.dfs.core.windows.net. You need to configure the connection string for Notebook1. Which URI should you use?","a) adf://container@store.dfs.core.windows.net/products.csv - b) abfss://container@store.dfs.core.windows.net/products.csv - c) dbfs://container@store.dfs.core.windows.net/products.csv - d) https://container@store.dfs.core.windows.net/products.csv","b) abfss://container@store.dfs.core.windows.net/products.csv","Le protocole abfss:// est utilisé pour accéder à un compte Azure Data Lake Storage à partir d'un notebook Spark - en utilisant le Azure Blob Filesystem driver (ABFS). Les autres options - telles que adf:// - dbfs:// - et https:// - ne sont pas adaptées pour cette connexion.","0.0"
"Which table types should be used for dimension and fact tables in Azure Synapse Analytics?","a) Hash Distributed - b) Replicated","b) Replicated for dimension tables - a) Hash Distributed for fact tables","b) Replicated for dimension tables - a) Hash Distributed for fact tables : Corrects - car les petites tables de dimension sont répliquées pour de meilleures performances - tandis que les tables de faits sont distribuées par hachage pour traiter de grandes quantités de données.","0.0"
"You have an Azure data factory instance named ADF1 and two Azure Synapse Analytics workspaces named WS1 and WS2. ADF1 contains two pipelines- P1 and P2. Pipeline P1 copies data from a non-partitioned table in a dedicated SQL pool of WS1 to an Azure Data Lake Storage Gen 2 account. Pipeline P2 copies data from text-delimited files in Azure Data Lake Storage Gen 2 to a non-partitioned table in WS2. You need to configure P1 and P2 to maximize parallelism and performance. Which dataset setting should you configure for the copy activity in each pipeline?","a) For P1 - set PolyBase; for P2 - set Bulk Insert - b) For P1 - set Bulk Insert; for P2 - set PolyBase - c) For P1 - set PolyBase; for P2 - set PolyBase - d) For P1 - set Bulk Insert; for P2 - set Bulk Insert","c) For P1 - set PolyBase; for P2 - set PolyBase","c) For P1 - set PolyBase; for P2 - set PolyBase : Correct - car PolyBase permet une performance maximale en important des données à partir de fichiers texte ou de tables SQL sans partition.","0.0"
"You need to ensure that the Twitter feed data can be analyzed in the dedicated SQL pool. The solution must meet the customer sentiment analytic requirements. Which three Transact-SQL DDL commands should you run in sequence?","CREATE EXTERNAL DATA SOURCE - CREATE EXTERNAL FILE FORMAT - CREATE EXTERNAL TABLE AS SELECT","CREATE EXTERNAL DATA SOURCE - CREATE EXTERNAL FILE FORMAT - CREATE EXTERNAL TABLE AS SELECT","1. CREATE EXTERNAL DATA SOURCE: Defines the external data source from where Twitter data is pulled. 2. CREATE EXTERNAL FILE FORMAT: Specifies the format of the files storing Twitter data (CSV - Parquet - etc.). 3. CREATE EXTERNAL TABLE AS SELECT: Creates an external table and selects the data for analysis.","0.0"
"You have an Azure Data Factory pipeline named Pipeline1. Pipeline1 executes many API write operations every time it runs. Pipeline1 is scheduled to run every five minutes. After executing Pipeline1 10 times- you notice a throttling issue in the logs. You need to ensure that you can run Pipeline1 every five minutes. What should you do?","a) Change the compute size to large - b) Create a new integration runtime and a new Pipeline as a copy of Pipeline1. Configure both pipelines to run every 10 minutes - five minutes apart - c) Create a second trigger and set each trigger to run every 10 minutes - five minutes apart - d) Create another pipeline in the data factory and schedule each pipeline to run every 10 minutes - five minutes apart","b) Create a new integration runtime and a new Pipeline as a copy of Pipeline1. Configure both pipelines to run every 10 minutes - five minutes apart","La solution correcte consiste à créer un nouveau runtime d'intégration et un pipeline identique - puis à les faire fonctionner alternativement toutes les 10 minutes. Cela permet d'éviter les limitations de concurrence rencontrées par un seul pipeline. - -Les autres options ne résolvent pas le problème : -- **a) Change the compute size to large** : L'augmentation de la taille de calcul n'aura pas d'impact sur les limites de runtime d'intégration. -- **c) Create a second trigger and set each trigger to run every 10 minutes - five minutes apart** : Le déclenchement supplémentaire ne résoudra pas la limitation de concurrence si le runtime est saturé. -- **d) Create another pipeline in the data factory and schedule each pipeline to run every 10 minutes - five minutes apart** : Même si les pipelines alternent - ils partagent toujours les mêmes limitations de runtime d'intégration.","0.0"
"You have created an external table named ExtTable in Azure Data Explorer. Now a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following function should he use to refer to this table?","a) external_table() - b) access_table() - c) ext_table() - d) None of the above","a) external_table()","a) external_table(): This function is used in KQL to refer to an external table in Azure Data Explorer. Other options do not exist in KQL.","0.0"
"You are developing a solution that will use Azure Stream Analytics. The solution will accept input from Azure Blob storage named customers. The file will contain both in-store and online customer details. The online customers will provide a mailing address. You also have a file in Blob storage named location_incomes that contains median incomes based on location. The file is rarely used. You need to use an address to look up a median income based on the location and must output the data to Azure SQL Database for immediate use and to Azure Data Lake Storage Gen 2 for long-term retention. The solution is to implement a Stream Analytics job that has one query and two outputs. Does this meet the goal?","a) Yes - b) No","b) No","b) No : Correct - car il manque l'input de référence nécessaire pour les revenus basés sur la localisation dans la solution.","0.0"
"You use Azure Stream Analytics to receive data from Azure Event Hubs and to output the data to an Azure Blob Storage account. You need to output the count of records received from the last five minutes every minute. Which windowing function should you use?","a) Session - b) Tumbling - c) Sliding - d) Hopping","d) Hopping","Hopping window generates results at regular intervals (every minute) while looking back over a sliding window (five minutes)","0.0"
"To create Data Factory instances - the user account that you use to sign into Azure must be a member of: (Select all options that are applicable)","a) Contributor - b) Owner role - c) Administrator of the Azure subscription - d) Write","a) Contributor - b) Owner role - c) Administrator of the Azure subscription","a) Le rôle de Contributor permet de créer et gérer des ressources dans Azure - y compris Data Factory. b) Le rôle d'Owner permet une gestion complète des ressources. c) L'administrateur d'abonnement a le contrôle total sur la gestion des ressources. d) 'Write' n'est pas un rôle valide dans Azure.","0.0"
"You have an Azure subscription that is linked to a hybrid Azure Active Directory tenant. The subscription contains an Azure Synapse Analytics SQL pool named Pool1. You need to recommend an authentication solution for Pool1 that supports multi-factor authentication (MFA) and database-level authentication. Which solution should you include?","a) Azure AD authentication - b) Microsoft SQL Server authentication - c) Passwordless authentication - d) Windows authentication | a) Contained database users - b) Application roles - c) Database roles - d) Microsoft SQL Server logins","a) Azure AD authentication | a) Contained database users","a) Azure AD authentication | a) Contained database users : Correct - car Azure AD prend en charge l'authentification multifactorielle (MFA) - et les utilisateurs de bases de données contenues permettent une authentification au niveau de la base de données.","0.0"
"By default- how are corrupt records dealt with using Spark's `spark.read.json()` function?","a) They appear in a column called `corrupt_record` - b) They are automatically deleted - c) They throw an exception and exit read operation","a) They appear in a column called `corrupt_record`","a) They appear in a column called `corrupt_record` : Correct - car Spark enregistre les lignes corrompues dans une colonne spéciale pour les examiner plus tard.","0.0"
"An on-premises data warehouse has two fact tables- one for sales and one for invoices. Sales data has 600 GB- with date key- product key- and region key. Invoice data has 6 GB with date key- product key- and region key. The data warehouse queries take too long to complete- so you plan to migrate to Azure Synapse Analytics. You need to optimize query performance and minimize processing skew. Which distribution type and distribution column should you recommend for each table?","a) Hash distributed - ProductKey - b) Hash distributed - RegionKey - c) Round-robin distributed - DateKey - d) Hash distributed - DateKey","a) Hash distributed - ProductKey for Sales Table - b) Hash distributed - RegionKey for Invoice Table","a) Hash distributed - ProductKey for Sales Table - b) Hash distributed - RegionKey for Invoice Table : Correct - car le hachage par `ProductKey` pour les ventes optimise les jointures et le hachage par `RegionKey` pour les factures optimise les regroupements.","0.0"
"You are implementing an Azure Data Lake Gen 2 storage account and need to ensure data is accessible for both read and write operations even if an entire data center (zonal or non-zonal) becomes unavailable. Which replication option should you use?","a) Locally Redundant Storage (LRS) - b) Zone Redundant Storage (ZRS) - c) Geo-Redundant Storage (GRS) - d) Geo-Zone Redundant Storage (GZRS)","b) Zone Redundant Storage (ZRS)","b) ZRS : Correct - car il offre une redondance à moindre coût tout en garantissant une disponibilité dans plusieurs zones. a) LRS - c) GRS - d) GZRS : Incorrects - car ils sont soit plus coûteux - soit ne répondent pas aux exigences de la question.","0.0"
"The open-source world offers four types of NoSQL databases. Select all the options that are applicable.","a) SQL Database - b) Apache Hadoop - c) Key-Value Store - d) Document Database - e) Graph Database - f) Column Database - g) Cosmos DB - h) Azure SQL Synapse","c) Key-Value Store - d) Document Database - e) Graph Database - f) Column Database","c) Key-Value Store - d) Document Database - e) Graph Database - f) Column Database : Corrects - car ces options sont des types de bases de données NoSQL. a) SQL Database - b) Apache Hadoop - g) Cosmos DB - h) Azure SQL Synapse : Incorrects - car ces options ne sont pas des types de bases de données NoSQL.","0.0"
"You plan to implement a data lifecycle policy to identify and delete blobs not modified in the last 100 days. You apply an Azure Blob Storage lifecycle policy. Does this solution meet the goal?","a) Yes - b) No","a) Yes","a) Yes : Correct - car Azure Blob Storage Lifecycle Policy permet de gérer efficacement la suppression des blobs en fonction de leur cycle de vie.","0.0"
"You have an Azure Data Factory named ADF1. You need to review Data Factory pipeline runtimes for the last seven days. The solution must provide a graphical view of the data. What should you use?","a) the Dashboard view of the pipeline runs - b) the List view of the pipeline runs - c) the Gantt view of the pipeline runs - d) the Overview tab of Azure Data Factory Studio","c) the Gantt view of the pipeline runs","La vue Gantt des exécutions de pipeline vous montre une vue graphique des données de temps d'exécution afin que vous puissiez voir quels pipelines s'exécutent en même temps - et lesquels s'exécutent à des moments différents.","0.0"
"What should you do to improve high availability of the real-time data processing solution?","a) Deploy a high concurrency Databricks cluster - b) Deploy an Azure Stream Analytics job and use an Azure Automation runbook to check the status of the job and restart if it stops - c) Set the Data Lake Storage to use Geo-redundant storage - d) Deploy identical Azure Stream Analytics jobs to paired regions in Azure","d) Deploy identical Azure Stream Analytics jobs to paired regions in Azure","d) Deploy identical Azure Stream Analytics jobs to paired regions in Azure : Correct - car cela garantit une haute disponibilité en cas de défaillance d'un des clusters - en suivant le modèle de région appariée d'Azure.","0.0"
"What should you recommend using to secure sensitive customer contact information?","a) Transparent Data Encryption - b) Row-Level Security - c) Column-Level Security - d) Data Sensitivity Labels","c) Column-Level Security","c) Column-Level Security : Correct - car cette solution permet de restreindre l'accès aux colonnes contenant des informations sensibles - comme les informations de contact des clients.","0.0"
"You are creating a new notebook in Azure Databricks. Which switch should you use to switch between languages?","a) % - b) @ - c) [] - d) ()","a) %","a) % : Correct - car pour passer d'un langage à l'autre dans un notebook Databricks - on utilise le symbole `%` suivi du nom du langage - par exemple `%python`.","0.0"
"You have an Azure Stream Analytics solution that receives data from multiple thermostats in a building. You need to write a query that returns the average temperature per device every five minutes for readings within that same five minute period. Which two windowing functions could you use?","a) HoppingWindow - b) SessionWindow - c) SlidingWindow - d) TumblingWindow","a) HoppingWindow - d) TumblingWindow","Les fenêtres tumbling (TumblingWindow) ont une période définie et peuvent agréger tous les événements pour cette même période de temps. Elles permettent donc de calculer la température moyenne toutes les cinq minutes. -- **a) HoppingWindow** : Une fenêtre de saut (HoppingWindow) permet également d'agréger des événements sur une période de temps définie mais permet un chevauchement des fenêtres - ce qui en fait une option valable. -- **b) SessionWindow** : Cette fenêtre est utilisée pour agréger des événements basés sur des sessions d'activités - elle ne convient donc pas à cette situation. -- **c) SlidingWindow** : Utilisé pour agréger des événements sans une période fixe - ce qui ne correspond pas au besoin de cette requête.","0.0"
"Which Azure Data Factory component contains the transformation logic or analysis commands?","a) Linked Service - b) Datasets - c) Activities - d) Pipelines","c) Activities","c) Activities : Correct - car les activités représentent les étapes de traitement dans un pipeline Azure Data Factory.","0.0"
"You want to ingest data from a SQL Server database hosted on an on-premises Windows server using Azure Data Factory. Which integration runtime is required?","a) Azure Integration Runtime - b) Azure SSIS Integration Runtime - c) Self-Hosted Integration Runtime","c) Self-Hosted Integration Runtime","c) Self-Hosted Integration Runtime : Correct - car un runtime auto-hébergé est nécessaire pour accéder à un serveur SQL local depuis Azure Data Factory.","0.0"
"You have an Azure Storage account named account1. You need to ensure that requests to account1 can only be made from specific domains. What should you configure?","a) blob public access - b) CDN - c) CORS - d) secure transfer","c) CORS","En utilisant CORS (Cross-Origin Resource Sharing) - vous pouvez spécifier quels domaines sont autorisés à effectuer des requêtes web. Si un domaine n'est pas listé comme approuvé - la requête sera rejetée.","0.0"
"How do you connect your Spark cluster to Azure Blob?","a) By calling the .connect function on the Spark cluster - b) By mounting it - c) By calling the .connect function on Azure Blob","b) By mounting it","b) By mounting it : Correct - car vous devez monter le stockage Azure Blob pour y accéder depuis un cluster Spark.","0.0"
"You need to implement changes to meet compliance standards that require identifying and deleting blobs that were not modified in the last 100 days. You apply an expired tag to the blobs in the storage account. Does this solution meet the goal?","a) Yes - b) No","b) No","b) No : Correct - car appliquer un tag d'expiration ne permet pas de supprimer automatiquement les blobs après une période donnée.","0.0"
"You need to ensure that the data in the container is available for read workloads in a secondary region even if an outage occurs in the primary region. Which type of data redundancy should you use?","a) Geo-Redundant Storage (GRS) - b) Read-Access Geo-Redundant Storage (RA-GRS) - c) Zone Redundant Storage (ZRS) - d) Locally Redundant Storage (LRS)","b) Read-Access Geo-Redundant Storage (RA-GRS)","b) RA-GRS : Correct - car il permet une lecture dans une région secondaire en cas de panne de la région principale. a) GRS : Incorrect - car il nécessite un basculement manuel. c) ZRS - d) LRS : Incorrects - car ils ne permettent pas une redondance régionale.","0.0"
"You need to design a data retention solution for the Twitter feed data records. The solution must meet the customer sentiment analytics requirements. Which Azure storage functionality should you include in the solution?","a) Change feed - b) Soft delete - c) Time-based retention - d) Lifecycle management","d) Lifecycle management","d) Lifecycle management : Correct - car cette fonctionnalité permet de purger automatiquement les enregistrements de données Twitter plus anciens que deux ans - répondant aux besoins de rétention de données.","0.0"
"You are designing a partition strategy for a fact table in Azure Synapse with 2.4 billion records. How many partition ranges should you use for optimal compression and performance?","a) 40 - b) 240 - c) 400 - d) 2400","a) 40","a) 40 : Correct - car cela offre le meilleur compromis entre la compression et les performances pour 2 -4 milliards de lignes.","0.0"
"Azure Databricks encapsulates which Apache Storage technology?","a) Apache HDInsight - b) Apache Hadoop - c) Apache Spark","c) Apache Spark","c) Apache Spark : Correct - car Azure Databricks est basé sur Apache Spark. a) Apache HDInsight : Incorrect - car HDInsight est une autre technologie de Microsoft pour le Big Data. b) Apache Hadoop : Incorrect - car Hadoop est un cadre de stockage de données différent de Spark.","0.0"
"You are designing an application that will store petabytes of medical imaging data. When the data is first created- it will be accessed frequently during the first week. After one month- the data must be accessible within 30 seconds- but will be accessed infrequently. After one year- the data will be accessed infrequently but must be accessible within 5 minutes. You need to select the storage strategy for the data. The solution must minimize costs. Which storage tier should you use for each time frame?","a) Hot - b) Cool - c) Archive","a) Hot | b) Cool | c) Archive","a) Hot | b) Cool | c) Archive: Correct - because hot storage is suitable for frequently accessed data - cool storage is for infrequently accessed data within 30 seconds - and archive storage is for rarely accessed data with a longer retrieval time.","0.0"
"You are designing an inventory update table in an Azure Synapse Analytics dedicated SQL pool. The table will have a clustered columnstore index and include event date- event type ID- warehouse ID- and product category type ID columns. You identify the following usage patterns: analysts will most commonly analyze transactions for a warehouse and queries will summarize by product category type- date- and inventory event type. You need to recommend a partition strategy for the table to minimize query times. On which column should you partition the table?","a) Event type ID - b) Product category type ID - c) Event date - d) Warehouse ID","d) Warehouse ID","d) Warehouse ID : Correct - car les transactions sont principalement analysées par entrepôt - donc partitionner par Warehouse ID minimise les temps de requête.","0.0"
"You have a Delta Lake solution that contains a table named table1. You need to roll back the contents of table1 to 24 hours ago. Which command should you run?","a) ALTER TABLE employee - b) COPY INTO employee1 - c) RESTORE TABLE employee TO TIMESTAMP AS OF current_timestamp() - INTERVAL '24' HOUR - d) VACUUM employee RETAIN 24","c) RESTORE TABLE employee TO TIMESTAMP AS OF current_timestamp() - INTERVAL '24' HOUR","La commande RESTORE TABLE TO TIMESTAMP permet de restaurer une table Delta Lake à un état précédent en fonction de la date et de l'heure spécifiée. Dans ce cas - elle restaure la table à son état d'il y a 24 heures. Les autres options - comme VACUUM ou COPY INTO - ne sont pas appropriées pour restaurer une table à un moment précis.","0.0"
"You are designing an enterprise data warehouse in Azure Synapse Analytics containing a table with credit card information. What should you implement to restrict salespeople from viewing credit card details while allowing access to the rest of the data?","a) Data Masking - b) Always Encrypted - c) Column-Level Security - d) Row-Level Security","c) Column-Level Security","c) Column-Level Security : Correct - car cela permet de restreindre l'accès à certaines colonnes spécifiques - comme les informations de carte de crédit.","0.0"
"Azure Cloud Learners going for certification exams often get a not so good surprise when attempting associate level exams or expert level exams and this Panic comes in terms of case study type of questions which many of the exam givers are not prepared for. What are the guidelines for case study questions?","a) Timed separately - b) No return after moving forward - c) Case studies may contain exhibits and other resources - d) Review answers at the end","b) No return after moving forward - c) Case studies may contain exhibits and other resources","b) No return after moving forward - c) Case studies may contain exhibits and other resources : Correct - car dans les études de cas des examens Azure - une fois que vous passez à la section suivante - vous ne pouvez plus revenir en arrière. De plus - des ressources supplémentaires peuvent être fournies pour vous aider à répondre aux questions.","0.0"
"You are designing the folder structure for an Azure Data Lake Storage Gen2 container. Users will query data by using a variety of services including Azure Databricks and Azure Synapse Analytics serverless SQL pools. The data will be secured by subject area. Most queries will include data from the current year or current month. Which folder structure should you recommend to support fast queries and simplified folder security?","a) /{SubjectArea}/{DataSource}/{DD}/{MM}/{YYYY}/{FileData}_{YYYY}_{MM}_{DD}.csv - b) /{DD}/{MM}/{YYYY}/{SubjectArea}/{DataSource}/{FileData}_{YYYY}_{MM}_{DD}.csv - c) /{YYYY}/{MM}/{DD}/{SubjectArea}/{DataSource}/{FileData}_{YYYY}_{MM}_{DD}.csv - d) /{SubjectArea}/{DataSource}/{YYYY}/{MM}/{DD}/{FileData}_{YYYY}_{MM}_{DD}.csv","d) /{SubjectArea}/{DataSource}/{YYYY}/{MM}/{DD}/{FileData}_{YYYY}_{MM}_{DD}.csv","This structure is optimized for querying data by year and month while securing data by subject area.","0.0"
"You have an Azure Data Factory pipeline named Pipeline1. You need to send an email message if Pipeline1 fails. What should you do?","a) Create a fail activity in the pipeline and set a Failure predecessor on the activity for the last activity in Pipeline1 - b) Create a metric in the Data Factory resource - c) Create an alert in the Data Factory resource - d) Create an if condition activity in the pipeline and set a Failure predecessor on the activity for the last activity in Pipeline1","c) Create an alert in the Data Factory resource","Créer une alerte dans la ressource Data Factory permet de déclencher un email en cas d'échec du pipeline. - -Les autres réponses ne sont pas correctes car : -- **a) Créer une activité de type fail et définir un prédécesseur d'échec** : Cela génère uniquement un message d'échec - mais ne permet pas d'envoyer un email. -- **b) Créer une métrique** : Les métriques ne déclenchent pas d'événements par elles-mêmes et ne permettent pas d'envoyer des emails. -- **d) Utiliser une activité If condition et un prédécesseur d'échec** : Cela permet de définir une condition de branchement mais ne permet pas directement d'envoyer un email.","0.0"
"What is the Recovery Point Objective (RPO) of Azure Synapse Analytics?","a) 4 hours - b) 8 hours - c) 12 hours - d) 16 hours","b) 8 hours","b) 8 hours : Correct - car Azure Synapse garantit un RPO de 8 heures.","0.0"
"Your company wants to route data rows to different streams based on matching conditions. Which transformation in mapping data flow should you use?","a) Conditional Split - b) Select - c) Lookup","a) Conditional Split","a) Conditional Split : Correct - car cette transformation permet de router les données vers différents flux selon des conditions définies.","0.0"
"You are planning to use Azure Databricks cluster that runs Spark jobs on the driver node. Which cluster type should you use?","a) Standard - b) Single Node - c) High Concurrency","b) Single Node","b) Single Node : Correct - car il permet d'exécuter des tâches Spark sans avoir besoin de nœuds de travail supplémentaires.","0.0"
